user_id,company_id,email,user_role,created_at,deactivated_at
usr_cmp_0001_001,cmp_0001,user1@mockco0001.example,standard,2026-03-21 00:00:00,
usr_cmp_0001_002,cmp_0001,user2@mockco0001.example,sales,2026-03-31 03:00:00,
usr_cmp_0001_003,cmp_0001,user3@mockco0001.example,agent,2026-03-31 04:00:00,
usr_cmp_0002_001,cmp_0002,user1@mockco0002.example,sales,2026-04-23 23:00:00,
usr_cmp_0002_002,cmp_0002,user2@mockco0002.example,support,2026-04-12 21:00:00,
usr_cmp_0002_003,cmp_0002,user3@mockco0002.example,sales,2026-04-09 18:00:00,
usr_cmp_0002_004,cmp_0002,user4@mockco0002.example,agent,2026-04-18 00:00:00,
usr_cmp_0002_005,cmp_0002,user5@mockco0002.example,sales,2026-04-17 16:00:00,
usr_cmp_0002_006,cmp_0002,user6@mockco0002.example,standard,2026-04-28 15:00:00,
usr_cmp_0002_007,cmp_0002,user7@mockco0002.example,sales,2026-04-08 17:00:00,
usr_cmp_0002_008,cmp_0002,user8@mockco0002.example,support,2026-04-17 06:00:00,
usr_cmp_0002_009,cmp_0002,user9@mockco0002.example,admin,2026-05-04 19:00:00,
usr_cmp_0002_010,cmp_0002,user10@mockco0002.example,admin,2026-04-28 20:00:00,
usr_cmp_0002_011,cmp_0002,user11@mockco0002.example,support,2026-04-13 19:00:00,
usr_cmp_0002_012,cmp_0002,user12@mockco0002.example,agent,2026-04-27 17:00:00,
usr_cmp_0002_013,cmp_0002,user13@mockco0002.example,sales,2026-04-15 20:00:00,
usr_cmp_0002_014,cmp_0002,user14@mockco0002.example,admin,2026-04-22 01:00:00,
usr_cmp_0002_015,cmp_0002,user15@mockco0002.example,agent,2026-04-27 22:00:00,
usr_cmp_0002_016,cmp_0002,user16@mockco0002.example,admin,2026-04-16 20:00:00,
usr_cmp_0002_017,cmp_0002,user17@mockco0002.example,admin,2026-04-14 06:00:00,
usr_cmp_0002_018,cmp_0002,user18@mockco0002.example,sales,2026-04-27 07:00:00,
usr_cmp_0002_019,cmp_0002,user19@mockco0002.example,support,2026-04-24 01:00:00,
usr_cmp_0002_020,cmp_0002,user20@mockco0002.example,agent,2026-04-22 10:00:00,
usr_cmp_0002_021,cmp_0002,user21@mockco0002.example,standard,2026-04-19 09:00:00,
usr_cmp_0002_022,cmp_0002,user22@mockco0002.example,sales,2026-04-30 07:00:00,
usr_cmp_0002_023,cmp_0002,user23@mockco0002.example,standard,2026-05-01 16:00:00,
usr_cmp_0002_024,cmp_0002,user24@mockco0002.example,sales,2026-04-15 03:00:00,
usr_cmp_0002_025,cmp_0002,user25@mockco0002.example,support,2026-05-03 21:00:00,
usr_cmp_0002_026,cmp_0002,user26@mockco0002.example,support,2026-05-04 07:00:00,
usr_cmp_0002_027,cmp_0002,user27@mockco0002.example,standard,2026-04-18 13:00:00,
usr_cmp_0002_028,cmp_0002,user28@mockco0002.example,agent,2026-04-19 17:00:00,
usr_cmp_0002_029,cmp_0002,user29@mockco0002.example,agent,2026-04-29 10:00:00,
usr_cmp_0002_030,cmp_0002,user30@mockco0002.example,support,2026-05-04 16:00:00,
usr_cmp_0002_031,cmp_0002,user31@mockco0002.example,agent,2026-04-29 15:00:00,
usr_cmp_0002_032,cmp_0002,user32@mockco0002.example,standard,2026-04-22 04:00:00,
usr_cmp_0002_033,cmp_0002,user33@mockco0002.example,support,2026-04-17 06:00:00,
usr_cmp_0002_034,cmp_0002,user34@mockco0002.example,admin,2026-04-10 19:00:00,
usr_cmp_0002_035,cmp_0002,user35@mockco0002.example,agent,2026-04-30 07:00:00,
usr_cmp_0002_036,cmp_0002,user36@mockco0002.example,sales,2026-04-09 18:00:00,
usr_cmp_0002_037,cmp_0002,user37@mockco0002.example,admin,2026-04-17 22:00:00,
usr_cmp_0002_038,cmp_0002,user38@mockco0002.example,standard,2026-05-04 13:00:00,
usr_cmp_0002_039,cmp_0002,user39@mockco0002.example,support,2026-04-19 13:00:00,
usr_cmp_0002_040,cmp_0002,user40@mockco0002.example,agent,2026-05-04 20:00:00,2026-06-20 20:00:00
usr_cmp_0002_041,cmp_0002,user41@mockco0002.example,agent,2026-04-28 00:00:00,
usr_cmp_0002_042,cmp_0002,user42@mockco0002.example,admin,2026-04-30 05:00:00,
usr_cmp_0003_001,cmp_0003,user1@mockco0003.example,support,2025-10-29 00:00:00,
usr_cmp_0003_002,cmp_0003,user2@mockco0003.example,admin,2025-10-14 00:00:00,
usr_cmp_0003_003,cmp_0003,user3@mockco0003.example,sales,2025-10-09 12:00:00,
usr_cmp_0003_004,cmp_0003,user4@mockco0003.example,agent,2025-10-19 13:00:00,
usr_cmp_0003_005,cmp_0003,user5@mockco0003.example,agent,2025-10-24 15:00:00,
usr_cmp_0003_006,cmp_0003,user6@mockco0003.example,standard,2025-10-13 07:00:00,2026-02-17 07:00:00
usr_cmp_0003_007,cmp_0003,user7@mockco0003.example,standard,2025-10-29 09:00:00,
usr_cmp_0003_008,cmp_0003,user8@mockco0003.example,sales,2025-10-12 09:00:00,
usr_cmp_0003_009,cmp_0003,user9@mockco0003.example,support,2025-10-22 10:00:00,
usr_cmp_0003_010,cmp_0003,user10@mockco0003.example,agent,2025-11-05 11:00:00,
usr_cmp_0003_011,cmp_0003,user11@mockco0003.example,standard,2025-10-10 16:00:00,
usr_cmp_0003_012,cmp_0003,user12@mockco0003.example,sales,2025-10-17 22:00:00,
usr_cmp_0003_013,cmp_0003,user13@mockco0003.example,support,2025-10-22 11:00:00,
usr_cmp_0003_014,cmp_0003,user14@mockco0003.example,support,2025-11-04 17:00:00,
usr_cmp_0004_001,cmp_0004,user1@mockco0004.example,sales,2025-12-08 08:00:00,
usr_cmp_0004_002,cmp_0004,user2@mockco0004.example,admin,2025-11-27 11:00:00,
usr_cmp_0004_003,cmp_0004,user3@mockco0004.example,admin,2025-12-15 11:00:00,
usr_cmp_0004_004,cmp_0004,user4@mockco0004.example,sales,2025-12-26 09:00:00,
usr_cmp_0004_005,cmp_0004,user5@mockco0004.example,sales,2025-12-20 21:00:00,
usr_cmp_0004_006,cmp_0004,user6@mockco0004.example,sales,2025-12-04 10:00:00,
usr_cmp_0004_007,cmp_0004,user7@mockco0004.example,agent,2025-12-18 13:00:00,
usr_cmp_0004_008,cmp_0004,user8@mockco0004.example,admin,2025-12-16 17:00:00,
usr_cmp_0004_009,cmp_0004,user9@mockco0004.example,agent,2025-12-06 04:00:00,2026-04-08 04:00:00
usr_cmp_0004_010,cmp_0004,user10@mockco0004.example,support,2025-11-28 23:00:00,
usr_cmp_0004_011,cmp_0004,user11@mockco0004.example,standard,2025-12-01 20:00:00,
usr_cmp_0004_012,cmp_0004,user12@mockco0004.example,sales,2025-12-25 01:00:00,
usr_cmp_0004_013,cmp_0004,user13@mockco0004.example,support,2025-12-22 19:00:00,
usr_cmp_0004_014,cmp_0004,user14@mockco0004.example,sales,2025-12-26 23:00:00,
usr_cmp_0004_015,cmp_0004,user15@mockco0004.example,admin,2025-12-21 17:00:00,
usr_cmp_0004_016,cmp_0004,user16@mockco0004.example,support,2025-11-30 21:00:00,
usr_cmp_0004_017,cmp_0004,user17@mockco0004.example,support,2025-12-27 07:00:00,
usr_cmp_0004_018,cmp_0004,user18@mockco0004.example,support,2025-11-26 22:00:00,
usr_cmp_0004_019,cmp_0004,user19@mockco0004.example,sales,2025-12-08 11:00:00,
usr_cmp_0004_020,cmp_0004,user20@mockco0004.example,sales,2025-12-15 02:00:00,
usr_cmp_0004_021,cmp_0004,user21@mockco0004.example,admin,2025-11-30 11:00:00,
usr_cmp_0004_022,cmp_0004,user22@mockco0004.example,standard,2025-12-16 07:00:00,
usr_cmp_0004_023,cmp_0004,user23@mockco0004.example,sales,2025-12-04 10:00:00,2026-05-01 10:00:00
usr_cmp_0004_024,cmp_0004,user24@mockco0004.example,admin,2025-12-17 03:00:00,
usr_cmp_0004_025,cmp_0004,user25@mockco0004.example,support,2025-12-26 15:00:00,
usr_cmp_0004_026,cmp_0004,user26@mockco0004.example,standard,2025-11-29 17:00:00,
usr_cmp_0004_027,cmp_0004,user27@mockco0004.example,standard,2025-12-01 02:00:00,
usr_cmp_0004_028,cmp_0004,user28@mockco0004.example,agent,2025-12-10 08:00:00,
usr_cmp_0004_029,cmp_0004,user29@mockco0004.example,support,2025-12-25 03:00:00,
usr_cmp_0004_030,cmp_0004,user30@mockco0004.example,sales,2025-12-16 03:00:00,
usr_cmp_0004_031,cmp_0004,user31@mockco0004.example,support,2025-11-28 12:00:00,
usr_cmp_0004_032,cmp_0004,user32@mockco0004.example,admin,2025-12-10 21:00:00,
usr_cmp_0004_033,cmp_0004,user33@mockco0004.example,sales,2025-12-18 01:00:00,
usr_cmp_0004_034,cmp_0004,user34@mockco0004.example,admin,2025-11-28 02:00:00,
usr_cmp_0004_035,cmp_0004,user35@mockco0004.example,agent,2025-12-27 04:00:00,
usr_cmp_0004_036,cmp_0004,user36@mockco0004.example,admin,2025-12-17 10:00:00,
usr_cmp_0004_037,cmp_0004,user37@mockco0004.example,agent,2025-11-28 00:00:00,
usr_cmp_0004_038,cmp_0004,user38@mockco0004.example,standard,2025-12-22 08:00:00,
usr_cmp_0004_039,cmp_0004,user39@mockco0004.example,agent,2025-12-03 08:00:00,
